Timestamp,Region,Resource Type,Resource Name,Status,Action Taken
2026-06-28 12:10:43,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:10:43,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:10:43,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:10:43,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:11:43,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:11:43,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:11:43,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:11:43,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:11:43,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:12:44,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:12:44,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:12:44,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:12:44,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:12:44,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:13:44,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:13:44,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:13:44,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:13:44,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:13:44,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:14:45,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:14:45,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:14:45,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:14:45,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:14:45,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:15:45,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:15:45,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:15:45,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:15:45,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:15:45,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:16:45,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:16:45,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:16:46,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:16:46,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:16:46,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:17:46,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:17:46,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
2026-06-28 12:17:46,us-west-2,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:17:46,eu-west-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:17:46,ap-southeast-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:18:46,us-east-1,S3 Bucket,heal-test-bucket,SECURED,Enforced Private Policy
2026-06-28 12:18:46,us-east-1,Network Firewall,vulnerable-corp-firewall,SECURED,Isolated exposed ports
